_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
406,Roads and bridges,Transportation,Ontario,"Eastbound collector lanes Avenue Rd. to Warden Ave., Leslie St. interchange, ramp to southbound Don Valley Pkwy, Phase 2, Toronto",Under construction,2025,"Bridge rehabilitation, Bridge replacement, Resurfacing",,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.76765705,-79.33800075
407,Roads and bridges,Transportation,Ontario,"West St., Orillia",Complete,2023,Bridge replacement,,Ontario,TBD,,,11,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.6275286,-79.4356049
408,Roads and bridges,Transportation,Ontario,"Tributary crossing to Talbot River, Trent Canal, Talbot River, Ramara",Under construction,2024,"Bridge rehabilitation, Culvert rehabilitation",,Ontario,TBD,,,12,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.486044,-79.1502409
409,Roads and bridges,Transportation,Ontario,"Garden City Skyway, Niagara",Under construction,2024,"Intelligent transportation system, Safety improvements",,Ontario,TBD,,,QEW,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.15722529,-79.16444159
410,Roads and bridges,Transportation,Ontario,"Eastbound core and collector lanes west of Victoria Park Ave. to east of Neilson Rd., Toronto",Planning,To Be Determined,"Bridge replacement, Bridge rehabilitation, Resurfacing",,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.79367185,-79.215706
411,Roads and bridges,Transportation,Ontario,"Mount Albert Rd. CNR , Black River/Baldwin River, Pefferlaw Brook, CNR at Hwy 48, tributary crossing to Perfferlaw Brook, Georgina",Planning,2025-2026,"Bridge rehabilitation, Culvert rehabilitation",,Ontario,TBD,,,48,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.12859238,-79.32011843
412,Roads and bridges,Transportation,Ontario,"Hwy 400 crossings for south Innisfil Creek municipal drain, Innisfil",Under construction,2024,Drainage Improvements,,Ontario,TBD,,,400,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.20034069,-79.65465608
413,Roads and bridges,Transportation,Ontario,"Pembroke to Greenwood Rd., County of Renfrew",Planning,To Be Determined,"Reconstruction, Intersection improvements",,Ontario,TBD,,,148,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,45.82420793,-77.08603146
414,Roads and bridges,Transportation,Ontario,"Wilson Rd. overpass, Oshawa",Planning,2025-2026,Bridge replacement,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.88586016,-78.83660317
415,Roads and bridges,Transportation,Ontario,"Hwy 27 to Tottenham Rd., west of Regional Rd. 50 to west of Airport Rd., CNR, CPR overhead, Humber River, New Tecumseth, Caledon",Planning,2025-2026,"Resurfacing, Culvert rehabilitation, Bridge rehabilitation, Intersection improvements, Traffic signals",,Ontario,TBD,,,9,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.0110331,-79.6785659
416,Roads and bridges,Transportation,Ontario,"Duffins Creek, Ajax",Complete,2023,Bridge rehabilitation,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.84670461,-79.05165065
417,Roads and bridges,Transportation,Ontario,"Regional Rd. 27 to Hwy 12/Simcoe Rd. 93, Wye River Bridge, Tay",Planning,2025-2026,"Resurfacing, Bridge rehabilitation",,Ontario,TBD,,,93,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.6411742,-79.8230195
418,Roads and bridges,Transportation,Ontario,"10 km south of Hwy 17 southerly, Sioux Narrows - Nestor Falls",Planning,2025-2026,"Reconstruction, Paved shoulders",,Ontario,TBD,,,71,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,49.42924131,-94.02742153
419,Roads and bridges,Transportation,Ontario,"Waverly Rd., Bowmanville Creek, Liberty St., Soper Creek, Bowmanville",Under construction,2024,"Bridge rehabilitation, Bridge replacement",,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.8993258,-78.67261858
420,Roads and bridges,Transportation,Ontario,"Simcoe St. and Albert St., Durham",Under construction,2024,Bridge replacement,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.8815711,-78.8563046
421,Roads and bridges,Transportation,Ontario,"Carruthers Creek, Thickson Rd., MTO Inspection Facility, Corbett Creek, Towns of Ajax and Whitby",Complete,2023,"Bridge rehabilitation, Culvert rehabilitation",,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.869264,-78.9049323
422,Roads and bridges,Transportation,Ontario,"Silver Creek, Credit River, Georgetown",Under construction,2024,Bridge rehabilitation,,Ontario,TBD,,,7,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.64724672,-79.85630475
423,Roads and bridges,Transportation,Ontario,"QEW/403/407 interchange Guelph Rd. to Hwy 6, Hamilton",Planning,2025-2026,Resurfacing,,Ontario,TBD,,,403,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.33625061,-79.82890672
424,Roads and bridges,Transportation,Ontario,"Various locations, Peel, Halton, Hamilton, Niagara",Planning,2025-2026,Culvert rehabilitation,,Ontario,TBD,,,QEW,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.21715221,-79.63690272
425,Roads and bridges,Transportation,Ontario,"Queenston-Lewiston Bridge to QEW, Niagara Falls",Under construction,2024,Resurfacing,,Ontario,TBD,,,405,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.1564297,-79.0520973
426,Roads and bridges,Transportation,Ontario,"Hwy 6/York Rd., Hwy 5/ Middletown Rd., Hwy 8/ Woodhill Rd., Peter's Corners",Planning,2025-2026,Intersection improvements,,Ontario,TBD,,,"5, 6, 8",0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.3044965,-80.1378714
427,Roads and bridges,Transportation,Ontario,"Hwy 401/403/410 interchange, Eglinton Ave., Phase 4A Mississauga",Under construction,2025,"Bridge rehabilitation, Culvert rehabilitation",,Ontario,TBD,,,"401, 403",0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.638975,-79.660643
428,Roads and bridges,Transportation,Ontario,"Hwy 427 to Kipling Ave., Hwy 401 west to Dixon Rd., Toronto",Under construction,2024,"Bridge rehabilitation, Resurfacing",,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.71337819,-79.53617558
429,Roads and bridges,Transportation,Ontario,"Westney Rd., Durham",Planning,2025-2026,Bridge rehabilitation,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.84902152,-79.04043597
430,Roads and bridges,Transportation,Ontario,"1.0 km west of Netherby Rd., to Lyons Creek Rd., Niagara",Planning,2025-2026,Resurfacing,,Ontario,TBD,,,QEW,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.96902994,-79.02959046
431,Roads and bridges,Transportation,Ontario,"Dorchester Rd., underpass, Niagara",Planning,To Be Determined,Bridge rehabilitation,,Ontario,TBD,,,420,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.095896,-79.1108512
432,Roads and bridges,Transportation,Ontario,"Various locations, Niagara",Planning,To Be Determined,"Resurfacing, Bridge rehabilitation",,Ontario,TBD,,,"58, 58A, To be assigned",0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.1151312,-79.1854649
433,Roads and bridges,Transportation,Ontario,"Bovaird Dr. to Hwy  10, Brampton",Planning,2025-2026,"Culvert rehabilitation, Bridge rehabilitation, Resurfacing",,Ontario,TBD,,,410,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.72571032,-79.76504445
434,Roads and bridges,Transportation,Ontario,"Bennett Rd. underpass, Clarington",Planning,To Be Determined,Bridge replacement,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.90156047,-78.64382938
435,Roads and bridges,Transportation,Ontario,"Centennial Pkwy to Burlington Skwy south end, Redhill Creek, Hamilton",Planning,To Be Determined,"Bridge rehabilitation, Resurfacing",,Ontario,TBD,,,QEW,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.24618579,-79.75688679
436,Roads and bridges,Transportation,Ontario,"Reesor Rd. to Pickering-Durham Rd. 1, Markham, Pickering",Planning,2025-2026,Resurfacing,,Ontario,TBD,,,7,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.91981163,-79.10290482
437,Roads and bridges,Transportation,Ontario,"County Rd. 93 to Memorial Ave., Oro-Medonte, Orillia",Planning,To Be Determined,"Culvert rehabilitation, Resurfacing",,Ontario,TBD,,,11,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.47296536,-79.54928888
438,Roads and bridges,Transportation,Ontario,"Gamebridge-Durham Rd. 50 to Orillia east limits and Memorial Ave., Durham Region, Simcoe County, Orillia",Planning,To Be Determined,"Culvert rehabilitation, Resurfacing",,Ontario,TBD,,,12,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.57123799,-79.18866675
439,Roads and bridges,Transportation,Ontario,"Hwy 400 to Kipling Ave. westbound collector lanes, Weston Rd underpass, Toronto",Planning,To Be Determined,"Resurfacing, Bridge rehabilitation",,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.71646445,-79.51939085
440,Roads and bridges,Transportation,Ontario,"Kipling Ave. to Hwy 400 eastbound collector lanes, Toronto",Planning,To Be Determined,Resurfacing,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.71646445,-79.51939085
441,Roads and bridges,Transportation,Ontario,"Renforth Dr. to Hwy 427, Toronto",Planning,To Be Determined,"Culvert rehabilitation, Bridge rehabilitation, Resurfacing",,Ontario,TBD,,,"401, 427",0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.67963265,-79.57638568
442,Roads and bridges,Transportation,Ontario,"Hwy 427 to Hwy 401, Toronto",Planning,To Be Determined,"Bridge rehabilitation, Resurfacing",,Ontario,TBD,,,409,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.69815107,-79.58654702
443,Roads and bridges,Transportation,Ontario,"QEW to Hwy 401, northbound and southbound express lanes, Toronto",Planning,To Be Determined,Resurfacing,,Ontario,TBD,,,427,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.61370216,-79.548733
444,Roads and bridges,Transportation,Ontario,"Dixon Rd., Campus Rd., Renforth Dr., overpass west of Hwy 27, Toronto",Under construction,2025,Bridge rehabilitation,,Ontario,TBD,,,427,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.676555,-79.592564
445,Roads and bridges,Transportation,Ontario,"Hwy 93 overpass, Oro-Medonte",Planning,To Be Determined,Bridge replacement,,Ontario,TBD,,,400A,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.4349026,-79.64347115
446,Roads and bridges,Transportation,Ontario,"Memorial Ave., Sundial Dr., Orillia Township Rd., Muskoka Rd., Simcoe Rd. 169, Canal Rd., Orillia, Severn",Under construction,2024,"Bridge rehabilitation, Bridge replacement",,Ontario,TBD,,,11,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.58134,-79.44468
447,Roads and bridges,Transportation,Ontario,"Industrial Pkwy to west of Simcoe Rd. 50, Adjala-Tosorontio",Complete,2023,"Resurfacing, Culvert replacement, Guide rail improvements, Signage, Illumination",,Ontario,TBD,,,89,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.14746009,-79.8857372
448,Roads and bridges,Transportation,Ontario,"Southbound lanes Steeles Ave. to Hwy 7, north/southbound lanes Hwy 7 to Langstaff Rd., Steeles Ave., Vaughan Twp. CNR, Vaughan",Complete,2023,"Bridge rehabilitation, Resurfacing",,Ontario,TBD,,,400,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.77272138,-79.53478734
449,Roads and bridges,Transportation,Ontario,"Hwy 400/CR 88 interchange, Bradford-West Gwillimbury",Planning,To Be Determined,Bridge replacement,,Ontario,TBD,,,400,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.099498,-79.630786
450,Roads and bridges,Transportation,Ontario,"Essa Rd. overpass, Barrie",Under construction,2025,"Bridge replacement, Interchange improvements",,Ontario,TBD,,,400,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.33545748,-79.68465377
451,Roads and bridges,Transportation,Ontario,"Etobicoke Creek, Snelgrove Creek, Caledon",Complete,2023,Culvert rehabilitation,,Ontario,TBD,,,10,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.744491,-79.8394075
452,Roads and bridges,Transportation,Ontario,"Longwood Channel, Hamilton",Complete,2024,Culvert rehabilitation,,Ontario,TBD,,,403,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.262681,-79.89405
453,Roads and bridges,Transportation,Ontario,"Derry Rd., Mississauga",Planning,2025-2026,"Bridge rehabilitation, Culvert rehabilitation",,Ontario,TBD,,,410,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.6614056,-79.690154
454,Roads and bridges,Transportation,Ontario,"Burlington Bay Skyway, Niagara bound, Hamilton",Planning,2025-2026,Bridge rehabilitation,,Ontario,TBD,,,QEW,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.2981574,-79.7971646
455,Roads and bridges,Transportation,Ontario,"Martindale Rd. to Baker Rd., 40 Mile Creek, Grimsby",Under construction,2025,"Culvert rehabilitation, Bridge rehabilitation",,Ontario,TBD,,,QEW,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.1775,-79.27991
456,Roads and bridges,Transportation,Ontario,"Carlingview Dr., Mimico Creek, Hwy 427 northbound tunnel, Turning Rd., Toronto",Planning,To Be Determined,"Bridge rehabilitation, Bridge replacement, Culvert replacement, Culvert rehabilitation, Bridge removal",,Ontario,TBD,,,"409, 427",0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.697453,-79.606845
457,Roads and bridges,Transportation,Ontario,"Main St. north junction (Durham Rd. 17) to Hwy 115, Regional Rd. 4, 7th Line, 8th Line, Hwy 35 connection, Durham Boundary Rd., Clarington",Complete,2023,"Bridge rehabilitation, Resurfacing",,Ontario,TBD,,,"115, 35",0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.96933363,-78.61007261
458,Roads and bridges,Transportation,Ontario,"Sunnidale Rd. underpass, north of St. Vincent St. to Willow Creek, Barrie, Springwater",Under construction,2024,"Bridge replacement, Resurfacing",,Ontario,TBD,,,400,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.3842147,-79.70874319
459,Roads and bridges,Transportation,Ontario,"Hwy 12 overpass, CNR overhead, Matchedash Bay Bridge, Simcoe",Under construction,2025-2026,Bridge rehabilitation,,Ontario,TBD,,,400,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.7076336,-79.6574555
460,Roads and bridges,Transportation,Ontario,"Eastbound express lanes Avenue Rd. to Warden Ave., Leslie St./Bayview Ave. interchanges., Phase 3, Toronto",Planning,To Be Determined,"Realignment, Interchange improvements",,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.77046606,-79.30410333
461,Roads and bridges,Transportation,Ontario,"Stouffville Rd. to Mulock Dr., Whitchurch - Stouffville",Planning,2025-2026,"Bridge replacement, Culvert rehabilitation, Bridge rehabilitation, Resurfacing",,Ontario,TBD,,,404,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.97776611,-79.39266173
462,Roads and bridges,Transportation,Ontario,"Garden City Skyway, St. Catharines, Phase 1",Planning,To Be Determined,New bridge,,Ontario,TBD,,,QEW,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.1673569,-79.1953159
463,Roads and bridges,Transportation,Ontario,"Coldwater Rd. underpass, Orillia",Planning,To Be Determined,Bridge replacement,,Ontario,TBD,,,11,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.61056478,-79.44500458
464,Roads and bridges,Transportation,Ontario,"Eastbound lanes Courtice Rd. to Stevenson Rd., Park Rd., Cubert St., Oshawa, Clarington",Planning,To Be Determined,"Bridge replacement, Resurfacing, Bridge rehabilitation, Culvert rehabilitation",,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.87889161,-78.76359402
465,Roads and bridges,Transportation,Ontario,"King Rd. to Lloydtown-Aurora Rd., York",Under construction,2025,High Occupancy Vehicle Lane expansion,,Ontario,TBD,,,400,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.92055689,-79.5660099
466,Roads and bridges,Transportation,Ontario,"Langstaff Rd. to Major Mackenzie Dr., York",Planning,2025-2026,High Occupancy Vehicle Lane expansion,,Ontario,TBD,,,400,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.80933345,-79.54348054
467,Roads and bridges,Transportation,Ontario,"London Line, Sarnia",Under construction,2024,Bridge rehabilitation,,Ontario,TBD,,,40,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.98185116,-82.34408945
468,Roads and bridges,Transportation,Ontario,"Frederick St. underpass, Kitchener",Planning,2025-2026,"Bridge replacement, Utility relocations",,Ontario,TBD,,,7,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.458855,-80.471362
469,Roads and bridges,Transportation,Ontario,"0.1 km north of Speedvale Ave. northerly to 0.4 km north of Woodlawn Rd., Guelph",Planning,To Be Determined,New interchange,,Ontario,TBD,,,7,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.5501035,-80.2979298
470,Roads and bridges,Transportation,Ontario,"Elginfield to Exeter, County of Huron and Middlesex",Planning,2025-2026,Resurfacing,,Ontario,TBD,,,4,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.19478797,-81.41871477
471,Roads and bridges,Transportation,Ontario,Guelph Junction Railway Crossing,Planning,2024,Safety improvements,,Ontario,TBD,,,6,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.54345323,-80.28871683
472,Roads and bridges,Transportation,Ontario,"Durham to Chatsworth, Grey County",Planning,2025-2026,"Bridge rehabilitation, Culvert replacement",,Ontario,TBD,,,6,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.3615225,-80.86789807
473,Roads and bridges,Transportation,Ontario,"University Ave. interchange, Laurel Creek Culverts, Waterloo",Planning,2025-2026,Culvert rehabilitation,,Ontario,TBD,,,85,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.47388917,-80.48439625
474,Roads and bridges,Transportation,Ontario,"East of Manning Rd. and east of Queen's Line, County of Essex and Chatham-Kent",Under construction,2024,Overhead signage,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.308895,-82.312623
475,Roads and bridges,Transportation,Ontario,"Brant County Rd. 2 (Paris Rd.) to Garden Ave., Brantford",Complete,2023,Resurfacing,,Ontario,TBD,,,403,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.16745034,-80.21970099
476,Roads and bridges,Transportation,Ontario,"Indian Rd. to Wellington St., Lambton",Planning,To Be Determined,Two to four-lane widening,,Ontario,TBD,,,40,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.93585884,-82.37750896
477,Roads and bridges,Transportation,Ontario,"Essex Rd. 23 to Essex Rd. 34, Essex County, Contract 2",Under construction,2025-2026,Two to four-lane widening,,Ontario,TBD,,,3,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.09914239,-82.73366019
478,Roads and bridges,Transportation,Ontario,"Wellington County Rd. 32 to the Halton Boundary, County of Wellington",Planning,2025-2026,Resurfacing,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.4732702,-80.0372056
479,Roads and bridges,Transportation,Ontario,"Eighteen Mile Creek, Amberly",Planning,2025-2026,Bridge rehabilitation,,Ontario,TBD,,,21,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.02183429,-81.71152485
480,Roads and bridges,Transportation,Ontario,"1 km west of Hwy 4 to 0.7 km east of Wellington Rd., London to Tilbury, Contract 2",Planning,To Be Determined,Four to six-lane widening,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.92902646,-81.20452412
481,Roads and bridges,Transportation,Ontario,"Boyne River Bridge (Flesherton),  Grey County",Planning,2025-2026,Culvert replacement,,Ontario,TBD,,,10,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,44.26396876,-80.55220244
482,Roads and bridges,Transportation,Ontario,"Tremblay Creek Culvert, Lakeshore",Planning,2025-2026,Culvert replacement,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.254229,-82.517325
483,Roads and bridges,Transportation,Ontario,"Greens Rd. Intersection, Caledonia",Planning,2025-2026,Intersection improvements,,Ontario,TBD,,,6,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.08849947,-79.95983055
484,Roads and bridges,Transportation,Ontario,"Hwy 4 (Colonel Talbot Rd.), Hwy 4 underpass and Glanworth Dr. underpass, County of Middlesex",Under construction,2026,"Bridge replacement, Interchange improvements",,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.88482986,-81.25007925
485,Roads and bridges,Transportation,Ontario,"Perth County Line 20, Russeldale",Planning,2025-2026,Intersection improvements,,Ontario,TBD,,,23,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.3824403,-81.26466101
486,Roads and bridges,Transportation,Ontario,"Ojibway Pkwy to Cabana Rd. and Todd Lane, County of Essex",Planning,2024,Intelligent transportation system,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.25110633,-83.03582282
487,Roads and bridges,Transportation,Ontario,"CNR overhead, Pond Mills overpass, Highbury Ave. underpass, London",Under construction,2027,"Bridge replacement, Interchange improvements",,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.93657005,-81.17938531
488,Roads and bridges,Transportation,Ontario,"Rest Acres Rd. to Paris Rd., Brantford",Complete,2023,Resurfacing,,Ontario,TBD,,,403,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.17075453,-80.30142795
489,Roads and bridges,Transportation,Ontario,"Marden Creek Culvert, County of Wellington",Planning,2025-2026,Culvert replacement,,Ontario,TBD,,,6,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.57427237,-80.28377161
490,Roads and bridges,Transportation,Ontario,"Various locations, Waterloo",Complete,2023,Signage,,Ontario,TBD,,,"7, 85",0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.47353014,-80.47802408
491,Roads and bridges,Transportation,Ontario,"Trussler Rd. interchange, Regional Municipality of Waterloo",Under construction,2024,"Resurfacing, Drainage improvements",,Ontario,TBD,,,7,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.40976733,-80.54360081
492,Roads and bridges,Transportation,Ontario,"1.4 km west of Elgin Rd. 20 (Union Rd.) to 1.0 km west of Hwy 4 (Colonel Talbot Rd.), London to Tilbury, Contract 2",Planning,To Be Determined,Four to six-lane widening,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.8615024,-81.26891884
493,Roads and bridges,Transportation,Ontario,"Franklin St. underpass to the Hwy 7 interchange, Regional Municipality of Waterloo",Complete,2023,Resurfacing,,Ontario,TBD,,,8,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.43397574,-80.44936299
494,Roads and bridges,Transportation,Ontario,"North of Freelton to Maltby Rd., Guelph (Morriston Bypass)",Planning,To Be Determined,"New four-lane highway, Six to ten-lane widening",,Ontario,TBD,,,6,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.4264409,-80.0812379
495,Roads and bridges,Transportation,Ontario,"Kerwood Rd. to Hickory Dr., Lambton and Middlesex",Complete,2023,Guide rail improvements,,Ontario,TBD,,,402,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.98620465,-81.58075279
496,Roads and bridges,Transportation,Ontario,"Maltby Rd. to Hwy 7 north junction, various locations",Planning,2025-2026,Resurfacing,,Ontario,TBD,,,6,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.4734266,-80.18946789
497,Roads and bridges,Transportation,Ontario,"Middlesex Rd. 32 (Dorchester Rd.) underpass, Thames Centre",Under construction,2025,"Interchange improvements, Resurfacing, Bridge replacement",,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.95853418,-81.06083603
498,Roads and bridges,Transportation,Ontario,"North Creek at Lehmans Pond, Norfolk County",Planning,2025-2026,Culvert replacement,,Ontario,TBD,,,3,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.854072,-80.5177174
499,Roads and bridges,Transportation,Ontario,"Waterloo Reg. Rd. 97 (Cedar Creek Rd.), North Dumfries",Planning,To Be Determined,Bridge replacement,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.3319328,-80.4445721
500,Roads and bridges,Transportation,Ontario,"Mckenzie Creek Bridge, Haldimand County",Under construction,2024,Bridge replacement,,Ontario,TBD,,,6,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.0442804,-79.97834375
501,Roads and bridges,Transportation,Ontario,"0.1 km north of Maltby Rd. to 0.3 km south of Wellington Rd. 34, Wellington County",Under construction,2025,New interchange,,Ontario,TBD,,,6,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.45485443,-80.17937618
502,Roads and bridges,Transportation,Ontario,"Cayuga to Haldimand Rd. 56, Canfield",Under construction,2024,Resurfacing,,Ontario,TBD,,,3,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.97079379,-79.76863009
503,Roads and bridges,Transportation,Ontario,"Grand River Bridges, Kitchener",Planning,To Be Determined,New bridge,,Ontario,TBD,,,"7, 7P",0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.476944,-80.456111
504,Roads and bridges,Transportation,Ontario,"2.5 km east of Furnival Rd. to 0.7 km west of Currie Rd., Elgin County",Complete,2023,Resurfacing,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.67160698,-81.52308138
505,Roads and bridges,Transportation,Ontario,"0.7 km east of Bloomfield Rd. to 0.1 km east of Victoria Rd., Chatham-Kent",Planning,2025-2026,Resurfacing,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.4831731,-81.91005528
506,Roads and bridges,Transportation,Ontario,"Fairway Rd. underpass to  Hwy 7 interchange, Kitchener",Planning,2024,Overhead signage,,Ontario,TBD,,,"7, 8",0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,43.43454,-80.45707
507,Roads and bridges,Transportation,Ontario,"1.39 km west of Victoria Rd. to 2.5 km east of Furnival Rd., westbound lanes, Municipality of Chatham-Kent and Elgin",Complete,2023,Resurfacing,,Ontario,TBD,,,401,0,,Yes,,,https://www.ontario.ca/page/ontarios-highway-programs,42.59332183,-81.6800667
